	function 1	function 2	mean 1	mean 2	stdev 1	stdev 2	t-test	p-val	aggregation approach	run-date
37	c1	c14	0.8666666666666667	1.5714285714285714	0.8459051693633014	0.9035079029052513	-1.9052540492783423	0.06498906547569862	selection_only	2024-04-15
38	c1	c13	0.8666666666666667	1.2727272727272727	0.8459051693633014	1.052348809344566	-1.2402391802193884	0.22229707607579802	selection_only	2024-04-15
39	c5	c11	1.7916666666666667	1.2857142857142858	0.956520023604083	1.1605769149479943	1.5664284915087525	0.12457882997182114	selection_only	2024-04-15
40	c5	c4	1.7916666666666667	1.68	0.956520023604083	1.3181805642627267	0.3312582675383903	0.7419218936282389	selection_only	2024-04-15
41	c5	c15	1.7916666666666667	2.2	0.956520023604083	0.9797958971132712	-0.8343702494730283	0.4113941213147566	selection_only	2024-04-15
42	c5	c9	1.7916666666666667	1.2608695652173914	0.956520023604083	1.0307190948808433	1.7915487826579342	0.07993157643312518	selection_only	2024-04-15
43	c5	c7	1.7916666666666667	1.05	0.956520023604083	0.864580823289529	2.6131567950896537	0.012396760026807618	selection_only	2024-04-15
44	c5	c6	1.7916666666666667	1.4285714285714286	0.956520023604083	1.2936264483053455	0.9615776510232382	0.34267637380741744	selection_only	2024-04-15
45	c5	c10	1.7916666666666667	1.28	0.956520023604083	1.0007996802557442	1.7904921062011832	0.07981702654039305	selection_only	2024-04-15
46	c5	c8	1.7916666666666667	0.782608695652174	0.956520023604083	0.9304754156101173	3.584960405748838	0.0008255804607593972	selection_only	2024-04-15
47	c5	c12	1.7916666666666667	1.2105263157894737	0.956520023604083	1.1506953215302866	1.7653706236054152	0.08494868719905577	selection_only	2024-04-15
48	c5	c14	1.7916666666666667	1.5714285714285714	0.956520023604083	0.9035079029052513	0.5248559235167306	0.6036730014310276	selection_only	2024-04-15
49	c5	c13	1.7916666666666667	1.2727272727272727	0.956520023604083	1.052348809344566	1.4012280721984	0.17048068759871085	selection_only	2024-04-15
50	c11	c4	1.2857142857142858	1.68	1.1605769149479943	1.3181805642627267	-1.0432795034749487	0.3025172144933838	selection_only	2024-04-15
51	c11	c15	1.2857142857142858	2.2	1.1605769149479943	0.9797958971132712	-1.5648592193055313	0.13070730873650657	selection_only	2024-04-15
52	c11	c9	1.2857142857142858	1.2608695652173914	1.1605769149479943	1.0307190948808433	0.07347104892688883	0.9417800806409715	selection_only	2024-04-15
53	c11	c7	1.2857142857142858	1.05	1.1605769149479943	0.864580823289529	0.7165221253466367	0.47793810150473093	selection_only	2024-04-15
54	c11	c6	1.2857142857142858	1.4285714285714286	1.1605769149479943	1.2936264483053455	-0.3307450153719177	0.742928015834978	selection_only	2024-04-15
55	c11	c10	1.2857142857142858	1.28	1.1605769149479943	1.0007996802557442	0.017535602194995312	0.9860886071995718	selection_only	2024-04-15
56	c11	c8	1.2857142857142858	0.782608695652174	1.1605769149479943	0.9304754156101173	1.5560125396121265	0.1272091688894453	selection_only	2024-04-15
57	c11	c12	1.2857142857142858	1.2105263157894737	1.1605769149479943	1.1506953215302866	0.20023902430407728	0.8423614573280009	selection_only	2024-04-15
58	c11	c14	1.2857142857142858	1.5714285714285714	1.1605769149479943	0.9035079029052513	-0.5724780279075997	0.5719157961987218	selection_only	2024-04-15
59	c11	c13	1.2857142857142858	1.2727272727272727	1.1605769149479943	1.052348809344566	0.030043293536514883	0.9762315070548477	selection_only	2024-04-15
60	c4	c15	1.68	2.2	1.3181805642627267	0.9797958971132712	-0.8086732714283374	0.4255212639113344	selection_only	2024-04-15
